"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,112
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,112
"mle.initial.IP",0.413793103448276,0.448275862068966,0.379310344827586,0.5,0.431034482758621,0.448275862068966,0.413793103448276,0.448275862068966,0.482758620689655,0.5,0.5,0.46551724137931,0.517241379310345,0.379310344827586,0.482758620689655,0.362068965517241,0.362068965517241,0.344827586206897,0.482758620689655,0.583333333333333,0.344827586206897,0.362068965517241,0.448275862068966,0.526315789473684,0.46551724137931,0.413793103448276,0.482758620689655,0.362068965517241,0.568965517241379,0.379310344827586,0.344827586206897,0.46551724137931,0.413793103448276,0.5,0.46551724137931,0.517241379310345,0.431034482758621,0.482758620689655,0.379310344827586,0.413793103448276,0.627450980392157,0.396551724137931,0.482758620689655,0.517241379310345,0.431034482758621,0.448275862068966,0.482758620689655,0.396551724137931,0.413793103448276,0.482758620689655,0.5,0.46551724137931,0.413793103448276,0.413793103448276,0.46551724137931,0.431034482758621,0.396551724137931,0.53448275862069,0.5,0.431034482758621,0.517241379310345,0.517241379310345,0.482758620689655,112
"mle.final.IP",0.413793103448276,0.448275862068966,0.379310344827586,0.5,0.431034482758621,0.448275862068966,0.413793103448276,0.448275862068966,0.482758620689655,0.5,0.5,0.46551724137931,0.517241379310345,0.379310344827586,0.482758620689655,0.362068965517241,0.362068965517241,0.344827586206897,0.482758620689655,0.58,0.344827586206897,0.362068965517241,0.448275862068966,0.526315789473684,0.46551724137931,0.413793103448276,0.482758620689655,0.362068965517241,0.568965517241379,0.379310344827586,0.344827586206897,0.46551724137931,0.413793103448276,0.5,0.46551724137931,0.517241379310345,0.431034482758621,0.482758620689655,0.379310344827586,0.413793103448276,0.627450980392157,0.396551724137931,0.482758620689655,0.517241379310345,0.431034482758621,0.448275862068966,0.482758620689655,0.396551724137931,0.413793103448276,0.482758620689655,0.5,0.46551724137931,0.413793103448276,0.413793103448276,0.46551724137931,0.431034482758621,0.396551724137931,0.53448275862069,0.5,0.431034482758621,0.517241379310345,0.517241379310345,0.482758620689655,112
"mle.initial.PC",0.333333333333333,0.285714285714286,0.261904761904762,0.476190476190476,0.642857142857143,0.238095238095238,0.285714285714286,0.5,0.357142857142857,0.357142857142857,0.452380952380952,0.476190476190476,0.5,0.404761904761905,0.428571428571429,0.380952380952381,0.547619047619048,0.30952380952381,0.476190476190476,0.289473684210526,0.523809523809524,0.404761904761905,0.523809523809524,0.230769230769231,0.523809523809524,0.357142857142857,0.476190476190476,0.380952380952381,0.523809523809524,0.476190476190476,0.476190476190476,0.380952380952381,0.357142857142857,0.452380952380952,0.5,0.333333333333333,0.333333333333333,0.261904761904762,0.285714285714286,0.523809523809524,0.371428571428571,0.428571428571429,0.452380952380952,0.476190476190476,0.380952380952381,0.428571428571429,0.333333333333333,0.476190476190476,0.357142857142857,0.428571428571429,0.452380952380952,0.380952380952381,0.452380952380952,0.333333333333333,0.404761904761905,0.452380952380952,0.285714285714286,0.404761904761905,0.357142857142857,0.380952380952381,0.452380952380952,0.428571428571429,0.452380952380952,112
"mle.final.PC",0.333333333333333,0.285714285714286,0.261904761904762,0.476190476190476,0.642857142857143,0.238095238095238,0.285714285714286,0.5,0.357142857142857,0.357142857142857,0.452380952380952,0.476190476190476,0.5,0.404761904761905,0.428571428571429,0.380952380952381,0.547619047619048,0.30952380952381,0.476190476190476,0.282051282051282,0.523809523809524,0.404761904761905,0.523809523809524,0.238095238095238,0.523809523809524,0.357142857142857,0.476190476190476,0.380952380952381,0.523809523809524,0.476190476190476,0.476190476190476,0.380952380952381,0.357142857142857,0.452380952380952,0.5,0.333333333333333,0.333333333333333,0.261904761904762,0.285714285714286,0.523809523809524,0.368421052631579,0.428571428571429,0.452380952380952,0.476190476190476,0.380952380952381,0.428571428571429,0.333333333333333,0.476190476190476,0.357142857142857,0.428571428571429,0.452380952380952,0.380952380952381,0.452380952380952,0.333333333333333,0.404761904761905,0.452380952380952,0.285714285714286,0.404761904761905,0.357142857142857,0.380952380952381,0.452380952380952,0.428571428571429,0.452380952380952,112
