"","X1","idx"
"y1.IP.50",20,39
"y0.IP.50",13,39
"y1.PC.50",10,39
"y0.PC.50",9,39
"eff.prob.50",0.908515734832004,39
"fut.prob.50",0.494759977586214,39
"eff.mix.prob.50",0.308424082495042,39
"box.skpt.50",0.469889705956595,39
"box.enth.50",0.769936151271444,39
"box.ni.50",NA,39
"y1.IP.52",20,39
"y0.IP.52",13,39
"y1.PC.52",10,39
"y0.PC.52",9,39
"eff.prob.52",0.908515734832004,39
"fut.prob.52",0.494759977586214,39
"eff.mix.prob.52",0.308424082495042,39
"box.skpt.52",0.469889705956595,39
"box.enth.52",0.769936151271444,39
"box.ni.52",NA,39
"y1.IP.54",21,39
"y0.IP.54",13,39
"y1.PC.54",10,39
"y0.PC.54",10,39
"eff.prob.54",0.93295096422247,39
"fut.prob.54",0.454730118267318,39
"eff.mix.prob.54",0.291840501843037,39
"box.skpt.54",0.396181250587763,39
"box.enth.54",0.810166003656015,39
"box.ni.54",NA,39
"y1.IP.56",21,39
"y0.IP.56",14,39
"y1.PC.56",10,39
"y0.PC.56",11,39
"eff.prob.56",0.93687725587273,39
"fut.prob.56",0.457375334614647,39
"eff.mix.prob.56",0.274108424006162,39
"box.skpt.56",0.430205846606967,39
"box.enth.56",0.861791739870954,39
"box.ni.56",NA,39
"y1.IP.58",21,39
"y0.IP.58",14,39
"y1.PC.58",11,39
"y0.PC.58",12,39
"eff.prob.58",0.936457715360627,39
"fut.prob.58",0.46079344197324,39
"eff.mix.prob.58",0.275867708194008,39
"box.skpt.58",0.434758964441339,39
"box.enth.58",0.85607232051593,39
"box.ni.58",NA,39
"y1.IP.60",21,39
"y0.IP.60",15,39
"y1.PC.60",11,39
"y0.PC.60",13,39
"eff.prob.60",0.938663603449611,39
"fut.prob.60",0.465005971311497,39
"eff.mix.prob.60",0.263197011244626,39
"box.skpt.60",0.469131300223958,39
"box.enth.60",0.902304213434672,39
"box.ni.60",NA,39
"y1.IP.62",21,39
"y0.IP.62",15,39
"y1.PC.62",11,39
"y0.PC.62",15,39
"eff.prob.62",0.953738070216076,39
"fut.prob.62",0.425502162910808,39
"eff.mix.prob.62",0.26065233990138,39
"box.skpt.62",0.379153630691362,39
"box.enth.62",0.913639003143991,39
"box.ni.62",NA,39
"y1.IP.64",21,39
"y0.IP.64",15,39
"y1.PC.64",11,39
"y0.PC.64",17,39
"eff.prob.64",0.963447879703571,39
"fut.prob.64",0.388929661060896,39
"eff.mix.prob.64",0.269858692408064,39
"box.skpt.64",0.295172254853324,39
"box.enth.64",0.87639126640685,39
"box.ni.64",NA,39
"y1.IP.66",22,39
"y0.IP.66",16,39
"y1.PC.66",11,39
"y0.PC.66",17,39
"eff.prob.66",0.963661419965101,39
"fut.prob.66",0.393258750560276,39
"eff.mix.prob.66",0.265579562770524,39
"box.skpt.66",0.298646274671214,39
"box.enth.66",0.892508906140602,39
"box.ni.66",NA,39
"y1.IP.68",22,39
"y0.IP.68",17,39
"y1.PC.68",11,39
"y0.PC.68",18,39
"eff.prob.68",0.963190025272908,39
"fut.prob.68",0.398602891551395,39
"eff.mix.prob.68",0.264453020161435,39
"box.skpt.68",0.320887109386632,39
"box.enth.68",0.897054725424048,39
"box.ni.68",NA,39
"y1.IP.70",22,39
"y0.IP.70",18,39
"y1.PC.70",12,39
"y0.PC.70",18,39
"eff.prob.70",0.952099532736542,39
"fut.prob.70",0.447364602543066,39
"eff.mix.prob.70",0.252100776254618,39
"box.skpt.70",0.432999271468144,39
"box.enth.70",0.966083743726164,39
"box.ni.70",NA,39
"y1.IP.72",23,39
"y0.IP.72",18,39
"y1.PC.72",12,39
"y0.PC.72",19,39
"eff.prob.72",0.962548371481067,39
"fut.prob.72",0.409570150037658,39
"eff.mix.prob.72",0.259203862001962,39
"box.skpt.72",0.34398571348497,39
"box.enth.72",0.920608354332948,39
"box.ni.72",NA,39
"y1.IP.74",24,39
"y0.IP.74",18,39
"y1.PC.74",13,39
"y0.PC.74",19,39
"eff.prob.74",0.962051891831925,39
"fut.prob.74",0.415078194226177,39
"eff.mix.prob.74",0.257636317892083,39
"box.skpt.74",0.343593789180057,39
"box.enth.74",0.928699411863408,39
"box.ni.74",NA,39
"y1.IP.76",24,39
"y0.IP.76",19,39
"y1.PC.76",13,39
"y0.PC.76",20,39
"eff.prob.76",0.961718138565559,39
"fut.prob.76",0.420437016218892,39
"eff.mix.prob.76",0.255506413641025,39
"box.skpt.76",0.361641804756183,39
"box.enth.76",0.940934452135253,39
"box.ni.76",NA,39
"y1.IP.78",25,39
"y0.IP.78",20,39
"y1.PC.78",13,39
"y0.PC.78",22,39
"eff.prob.78",0.969450902380254,39
"fut.prob.78",0.388776526270409,39
"eff.mix.prob.78",0.265316171531884,39
"box.skpt.78",0.287883447524434,39
"box.enth.78",0.893558898567391,39
"box.ni.78",NA,39
"y1.IP.80",25,39
"y0.IP.80",20,39
"y1.PC.80",13,39
"y0.PC.80",22,39
"eff.prob.80",0.969450902380254,39
"fut.prob.80",0.388776526270409,39
"eff.mix.prob.80",0.265316171531884,39
"box.skpt.80",0.287883447524434,39
"box.enth.80",0.893558898567391,39
"box.ni.80",NA,39
"y1.IP.82",25,39
"y0.IP.82",21,39
"y1.PC.82",14,39
"y0.PC.82",22,39
"eff.prob.82",0.96036881773645,39
"fut.prob.82",0.43647923279427,39
"eff.mix.prob.82",0.251381696890115,39
"box.skpt.82",0.390862523129301,39
"box.enth.82",0.973352986523461,39
"box.ni.82",NA,39
"y1.IP.84",26,39
"y0.IP.84",22,39
"y1.PC.84",16,39
"y0.PC.84",22,39
"eff.prob.84",0.945887544944609,39
"fut.prob.84",0.489860861209323,39
"eff.mix.prob.84",0.25158225173951,39
"box.skpt.84",0.499434483369059,39
"box.enth.84",0.971190470553782,39
"box.ni.84",NA,39
"y1.IP.86",26,39
"y0.IP.86",22,39
"y1.PC.86",16,39
"y0.PC.86",22,39
"eff.prob.86",0.945887544944609,39
"fut.prob.86",0.489860861209323,39
"eff.mix.prob.86",0.25158225173951,39
"box.skpt.86",0.499434483369059,39
"box.enth.86",0.971190470553782,39
"box.ni.86",NA,39
"y1.IP.88",27,39
"y0.IP.88",23,39
"y1.PC.88",16,39
"y0.PC.88",22,39
"eff.prob.88",0.945772684547535,39
"fut.prob.88",0.493092988054606,39
"eff.mix.prob.88",0.251495787158074,39
"box.skpt.88",0.506496991655323,39
"box.enth.88",0.972107616447502,39
"box.ni.88",NA,39
"y1.IP.90",27,39
"y0.IP.90",25,39
"y1.PC.90",16,39
"y0.PC.90",22,39
"eff.prob.90",0.93006848156857,39
"fut.prob.90",0.537185109326575,39
"eff.mix.prob.90",0.252181712429569,39
"box.skpt.90",0.613983243061608,39
"box.enth.90",0.965337517164625,39
"box.ni.90",NA,39
"y1.IP.92",28,39
"y0.IP.92",25,39
"y1.PC.92",17,39
"y0.PC.92",22,39
"eff.prob.92",0.927313197399256,39
"fut.prob.92",0.543726628278592,39
"eff.mix.prob.92",0.256657588007572,39
"box.skpt.92",0.60419949869512,39
"box.enth.92",0.934112954958878,39
"box.ni.92",NA,39
"y1.IP.initial",28,39
"y0.IP.initial",25,39
"y1.PC.initial",17,39
"y0.PC.initial",22,39
"eff.prob.initial",0.927313197399256,39
"fut.prob.initial",0.543726628278592,39
"eff.mix.prob.initial",0.256657588007572,39
"box.skpt.initial",0.60419949869512,39
"box.enth.initial",0.934112954958878,39
"box.ni.initial",NA,39
"y1.IP.final",28,39
"y0.IP.final",25,39
"y1.PC.final",17,39
"y0.PC.final",22,39
"eff.prob.final",0.927313197399256,39
"fut.prob.final",0.543726628278592,39
"eff.mix.prob.final",0.256657588007572,39
"box.skpt.final",0.60419949869512,39
"box.enth.final",0.934112954958878,39
"box.ni.final",NA,39
